soil_moisture,Moisture_Trend,Precipitation,weather_humidity,MaxT,MinT,Water_Sensitivity,Irrigation_Decision,Alert_Status,ID
51.04,-3.84,2.37,95.3,22.9,18.1,2,0,0,427
62.19,4.56,0.97,79.0,44.6,31.0,1,0,0,428
48.77,-1.86,1.79,34.1,27.7,12.6,0,0,0,429
42.93,3.88,7.98,63.2,23.3,30.9,1,1,1,430
43.57,1.03,6.78,74.9,25.0,13.8,1,0,1,431
59.04,3.27,5.47,94.7,34.7,12.1,1,1,0,432
55.46,4.84,4.75,89.3,21.6,26.0,1,1,0,433
42.53,-2.12,9.22,56.4,41.6,21.8,0,0,0,434
42.1,4.61,0.73,79.7,44.0,32.7,0,1,1,435
57.52,-1.11,2.81,60.6,26.2,19.1,2,1,1,436
41.82,-1.14,3.5,59.7,31.3,17.2,2,0,0,437
60.55,-1.6,7.82,20.3,20.6,22.5,2,1,0,438
57.66,0.41,9.93,21.4,36.0,21.4,1,1,0,439
42.03,-3.46,2.41,57.7,30.3,18.6,1,0,1,440
42.12,0.54,8.74,34.2,26.8,27.3,0,0,0,441
64.67,0.42,8.31,11.9,25.2,29.0,2,1,0,442
49.36,2.62,2.25,75.1,36.4,31.3,0,0,0,443
49.27,3.34,3.99,12.9,30.4,34.3,2,1,1,444
60.32,-0.6,4.1,63.6,24.5,16.7,2,0,1,445
63.68,-1.98,9.78,58.5,37.2,27.9,2,1,0,446
64.65,-2.41,1.81,97.2,34.1,19.9,1,0,1,447
58.83,-3.05,7.99,53.6,41.5,26.9,2,0,0,448
49.41,-4.42,3.34,15.7,22.9,21.9,2,1,0,449
42.09,-1.58,7.31,59.7,39.6,34.8,1,0,0,450
59.43,-2.3,4.2,85.7,36.8,28.2,2,0,0,451
53.96,4.66,5.78,99.7,22.9,33.8,1,1,1,452
50.61,0.58,8.33,48.7,37.4,30.9,1,0,0,453
62.66,-1.53,8.04,38.8,31.0,32.6,0,0,0,454
42.78,0.8,8.66,91.6,43.6,30.4,1,0,1,455
52.32,-3.61,0.6,27.2,23.5,21.5,1,1,0,456
40.28,-0.56,6.92,65.4,36.1,16.3,1,0,1,457
51.72,1.26,1.4,46.5,29.5,19.3,2,1,0,458
41.41,-0.11,4.16,13.7,43.9,10.5,0,1,0,459
42.97,-0.98,5.49,41.3,28.2,23.1,2,0,0,460
42.94,4.94,4.03,33.9,44.1,22.6,1,1,0,461
56.23,3.8,5.2,71.7,42.5,23.1,1,1,1,462
58.65,1.23,9.97,95.4,26.8,34.4,0,1,0,463
54.58,0.69,1.35,34.1,40.1,32.8,0,1,1,464
64.05,1.21,6.75,83.0,44.9,14.0,1,0,1,465
49.37,-2.99,3.96,15.0,26.3,19.2,1,0,1,466
47.14,-1.05,1.33,58.4,30.9,20.6,2,0,0,467
61.71,-4.61,1.59,16.3,33.0,19.0,1,1,1,468
45.59,-0.24,9.49,94.1,27.4,30.0,2,1,1,469
64.08,0.43,8.8,79.0,20.4,23.1,0,0,1,470
40.3,-2.72,9.07,69.2,25.5,24.3,2,1,0,471
64.25,4.64,9.92,84.2,27.0,31.3,1,0,0,472
41.08,4.09,2.08,68.3,31.1,30.1,2,1,1,473
62.28,2.22,3.55,97.2,24.3,13.3,2,0,1,474
53.19,0.33,6.69,74.3,41.8,27.8,0,0,0,475
64.82,3.7,4.84,93.2,37.6,20.9,2,0,1,476
41.84,-3.69,4.18,56.5,22.1,17.4,1,1,1,477
53.85,2.91,3.58,20.5,36.3,11.3,2,0,1,478
64.23,-3.75,5.94,57.5,36.3,22.2,2,1,0,479
53.08,2.94,5.76,21.4,43.9,18.9,2,1,1,480
55.73,-2.24,1.61,63.3,20.1,16.3,1,0,1,481
57.39,3.77,4.72,53.4,26.2,27.4,2,0,0,482
51.36,4.44,5.53,66.0,43.2,29.2,1,1,1,483
55.69,-3.51,5.7,10.9,43.3,16.1,2,1,0,484
54.61,-0.37,2.1,27.5,38.0,11.2,0,0,0,485
62.53,4.81,7.42,54.2,39.1,31.2,0,0,0,486
41.14,-0.17,0.25,95.5,22.3,10.2,0,1,1,487
47.02,3.64,3.55,44.5,32.8,33.4,1,0,1,488
63.76,0.89,7.8,48.2,25.8,25.7,1,0,1,489
62.26,-1.25,5.64,74.3,24.5,18.0,1,0,1,490
51.39,-2.14,2.61,64.3,40.3,16.2,2,0,1,491
55.5,-2.97,6.95,36.9,23.4,10.2,1,1,1,492
46.93,2.62,5.67,47.0,31.7,15.9,1,1,1,493
44.7,-1.13,7.96,29.6,43.5,13.4,1,0,1,494
51.59,0.11,7.35,96.9,24.6,25.3,1,0,0,495
48.83,-0.08,6.1,21.8,44.4,14.2,0,1,1,496
54.59,0.77,4.88,43.5,44.9,23.2,2,1,1,497
41.94,3.66,1.33,12.3,33.9,24.8,0,1,0,498
64.36,4.81,2.61,30.0,24.3,17.5,2,1,1,499
64.66,-0.92,4.19,80.2,27.9,10.9,2,1,0,500
57.45,3.28,5.99,28.1,30.6,10.9,0,0,1,501
53.4,2.65,5.14,17.2,27.7,10.7,1,0,1,502
47.74,0.74,2.88,52.7,27.0,28.5,0,1,0,503
60.34,4.56,0.06,10.9,44.3,18.0,2,1,0,504
57.12,-3.0,4.96,17.6,23.8,29.9,2,0,1,505
44.07,-3.91,2.86,82.7,38.3,20.8,1,1,0,506
62.77,3.54,7.35,79.4,20.0,21.3,0,1,1,507
60.56,-0.61,0.24,92.4,34.9,22.8,2,0,1,508
63.74,3.47,5.85,86.9,42.9,27.8,0,0,1,509
58.14,3.93,9.41,71.5,27.2,16.8,1,0,1,510
55.34,-4.38,1.74,14.7,24.6,13.0,1,0,1,511
50.46,3.83,4.72,80.5,36.3,23.9,2,1,1,512
63.32,-0.52,0.91,86.1,37.8,18.2,1,0,0,513
61.65,0.1,6.26,81.9,37.2,21.1,2,1,0,514
41.13,1.27,5.51,55.8,28.0,26.2,2,1,0,515
40.66,4.26,4.07,31.0,26.3,22.4,1,1,1,516
49.41,-4.81,5.21,86.1,43.9,25.5,1,1,0,517
60.26,-0.23,8.97,75.4,43.1,23.6,0,0,1,518
64.68,1.88,1.96,98.3,31.4,28.5,0,1,0,519
43.76,2.23,0.23,24.0,41.2,27.6,2,1,1,520
54.85,1.93,8.62,30.3,31.3,23.4,0,1,1,521
49.52,-3.66,5.77,29.1,30.6,27.0,2,0,1,522
64.25,-2.01,8.91,81.3,23.9,31.8,1,0,1,523
61.05,-1.41,5.97,26.8,30.7,20.8,1,0,1,524
60.96,3.04,8.1,16.0,33.4,20.3,0,0,0,525
51.72,-2.21,4.3,99.9,20.6,29.1,2,0,1,526
50.37,-2.89,7.5,12.2,31.1,24.6,2,1,0,527
46.84,4.57,9.13,85.2,39.5,11.8,0,0,1,528
41.41,-4.91,5.72,42.9,37.0,32.3,2,1,1,529
61.62,4.98,1.81,85.7,35.9,10.8,2,0,1,530
60.32,1.77,2.69,59.9,42.7,28.7,1,1,0,531
64.99,3.28,1.99,91.1,20.5,29.0,2,0,1,532
64.92,-2.05,2.47,93.4,33.9,33.8,2,1,0,533
53.89,-4.86,3.06,10.8,39.7,11.4,2,0,1,534
59.22,2.38,5.55,16.8,33.5,24.9,0,1,0,535
63.62,3.34,5.88,32.5,28.1,20.7,0,1,0,536
61.24,2.4,4.26,70.2,23.4,18.3,0,1,0,537
46.18,-3.57,6.15,89.9,42.2,12.3,2,1,1,538
51.26,2.53,0.82,51.4,31.8,24.1,2,1,1,539
43.23,2.69,0.88,64.6,42.0,22.0,0,1,0,540
63.85,1.59,1.72,27.0,34.6,12.6,0,0,1,541
55.15,2.66,5.18,82.4,36.9,25.3,2,0,1,542
45.72,3.46,2.14,97.1,40.1,28.4,2,1,1,543
56.79,1.14,2.83,34.2,36.5,29.2,1,1,0,544
55.45,-4.11,4.0,54.5,30.0,32.6,0,1,0,545
48.95,-0.12,8.12,17.8,32.8,20.2,2,1,1,546
42.84,-4.22,0.14,60.3,40.1,33.8,0,1,0,547
56.79,-0.92,6.49,55.3,29.3,31.6,0,1,1,548
53.01,-0.93,6.69,23.0,29.7,17.4,0,1,1,549
59.31,-4.34,7.99,49.8,22.4,14.0,1,0,0,550
53.0,-1.51,9.33,40.1,42.9,20.9,2,1,0,551
61.3,-3.89,0.2,57.0,22.3,20.0,2,1,1,552
53.8,3.08,1.54,62.7,36.2,24.4,0,0,1,553
54.02,4.48,8.86,10.8,30.3,24.6,2,0,1,554
61.92,-4.28,4.59,78.5,30.1,28.7,1,1,0,555
50.09,4.55,5.65,74.2,37.0,22.7,0,0,0,556
43.35,0.23,6.63,43.0,21.7,12.6,1,0,1,557
40.72,-2.0,6.79,14.8,34.8,31.5,1,0,1,558
58.88,-4.23,9.32,77.9,39.3,17.7,2,1,0,559
55.51,0.01,9.97,96.0,40.7,34.3,2,1,1,560
57.6,2.95,7.2,31.6,24.3,12.9,1,0,0,561
45.32,2.07,2.87,39.1,42.4,34.0,2,1,0,562
43.41,-4.5,8.8,26.5,36.4,12.3,1,1,1,563
40.36,-4.27,0.49,61.9,42.0,15.8,1,1,1,564
48.76,-0.97,2.31,23.9,32.1,11.2,0,0,0,565
54.75,-2.05,8.97,42.1,33.6,27.6,1,0,1,566
49.81,-2.68,2.56,72.7,43.0,31.3,1,0,0,567
50.94,-2.19,2.21,60.4,42.5,20.9,2,0,0,568
62.6,3.03,1.38,44.8,31.2,33.2,0,1,0,569
48.71,4.29,8.59,47.8,26.9,24.8,2,1,1,570
52.85,-0.95,5.0,60.6,29.8,25.8,0,1,1,571
59.59,4.06,6.75,10.5,29.7,31.1,2,0,1,572
49.91,-1.79,2.39,17.1,27.2,17.4,1,0,0,573
55.55,-0.24,7.58,89.3,26.7,18.9,0,1,0,574
61.56,-2.74,7.6,17.0,41.5,32.6,0,0,0,575
63.74,1.4,3.13,73.6,21.7,32.5,0,0,0,576
43.68,4.79,4.11,92.8,36.9,34.4,0,1,1,577
63.16,1.03,2.1,34.4,24.3,32.5,2,0,1,578
52.3,-1.42,9.77,43.3,28.6,13.2,2,0,1,579
46.46,1.48,6.46,61.2,21.5,30.6,0,1,0,580
51.48,-3.77,9.35,89.4,26.7,20.2,0,0,0,581
64.5,3.89,3.03,94.8,39.2,34.8,0,1,1,582
52.32,0.03,7.82,76.6,42.1,21.8,2,1,0,583
48.22,-0.51,7.66,17.8,25.5,23.8,0,0,1,584
55.84,0.86,6.92,70.2,31.6,23.2,0,1,0,585
46.0,1.25,9.66,46.9,31.8,18.0,0,0,0,586
41.9,-4.28,3.94,52.4,41.8,11.9,2,0,0,587
43.22,1.83,1.31,14.4,39.1,32.4,1,0,0,588
43.2,-2.58,6.72,27.2,32.8,30.1,1,0,0,589
43.8,2.14,7.29,81.1,36.8,13.5,2,0,1,590
43.47,3.23,5.75,50.9,41.2,29.4,1,0,1,591
56.02,3.04,2.07,37.1,20.2,25.6,0,0,1,592
44.55,0.53,5.04,44.6,30.1,20.2,0,0,0,593
48.64,0.2,3.12,86.9,42.7,16.4,2,0,1,594
62.42,-3.57,4.27,77.4,38.5,31.5,2,1,1,595
51.85,2.75,6.45,34.5,33.6,27.5,1,1,0,596
56.69,-2.29,7.45,20.6,33.2,23.7,1,0,0,597
44.31,-0.03,2.32,32.7,28.7,25.2,0,0,1,598
44.81,-2.16,4.05,92.9,33.0,12.3,2,0,1,599
41.02,-3.66,2.69,62.3,36.4,21.8,1,1,1,600
44.22,1.3,1.99,58.0,30.5,14.8,1,1,1,601
46.96,-4.46,7.83,63.7,37.9,15.2,0,0,1,602
44.43,2.49,9.09,42.9,41.5,26.5,0,0,0,603
42.22,-1.82,3.7,82.6,23.9,32.8,0,0,1,604
43.02,-5.0,7.51,57.1,31.3,20.1,0,1,1,605
51.52,0.11,8.97,20.5,30.2,15.2,1,0,1,606
45.16,-4.53,8.46,21.6,37.2,26.2,2,1,1,607
49.11,-2.24,1.83,58.3,26.2,31.8,2,1,1,608
52.59,2.07,9.56,94.3,36.0,28.7,0,0,1,609
57.26,-4.37,3.77,37.8,41.9,31.7,0,1,0,610
40.98,3.39,3.39,88.3,30.5,23.4,1,0,0,611
59.99,-4.96,0.62,78.8,42.8,28.8,0,1,0,612
55.7,-2.53,4.86,32.3,44.8,13.5,2,1,1,613
42.04,2.41,1.09,13.3,22.7,18.7,0,0,1,614
61.84,-1.84,2.49,19.2,25.8,19.7,2,0,0,615
63.02,-3.98,3.17,75.6,43.8,22.8,0,1,1,616
41.53,-1.4,8.09,28.0,44.0,33.2,0,1,1,617
46.92,-2.3,8.75,43.4,22.4,31.9,2,1,1,618
60.16,3.43,3.02,55.2,20.4,13.4,1,0,0,619
58.71,-1.87,8.59,75.3,24.0,14.3,1,0,0,620
44.61,2.89,8.57,20.2,44.9,18.9,0,0,0,621
45.23,3.92,7.65,46.6,24.5,17.3,0,0,1,622
49.26,-0.66,1.47,53.7,32.6,25.4,2,1,0,623
52.11,4.1,6.9,58.7,41.2,32.6,2,1,0,624
55.46,-1.23,9.45,83.7,20.5,34.1,0,1,0,625
49.22,4.64,6.83,25.5,35.1,26.3,2,1,1,626
51.56,-4.11,3.32,82.7,26.9,31.0,1,1,0,627
58.69,1.87,5.01,72.4,41.6,23.1,1,0,0,628
40.92,-0.06,6.46,60.0,27.1,15.2,2,0,1,629
46.31,-1.12,5.11,73.0,37.2,23.1,2,1,0,630
57.83,1.33,1.2,47.1,36.9,23.9,2,1,1,631
62.38,2.04,3.12,22.5,25.5,28.6,1,1,1,632
52.79,-4.96,8.02,69.9,20.9,15.5,0,1,0,633
53.3,-3.33,8.61,57.2,30.2,19.2,2,1,0,634
42.68,2.13,1.37,67.5,27.2,19.1,2,1,0,635
51.19,1.66,9.52,40.4,40.2,34.0,2,1,1,636
53.32,4.66,3.29,91.6,40.0,21.1,0,1,0,637
46.06,2.61,6.62,62.9,31.4,28.9,2,0,0,638
46.73,4.51,7.52,17.7,35.2,28.8,2,1,0,639
49.43,2.03,8.12,50.5,35.1,16.6,1,1,1,640
40.5,-2.02,9.46,78.1,40.7,24.3,2,0,1,641
48.05,-3.95,3.13,81.5,30.6,32.4,1,0,1,642
45.29,2.82,8.59,54.5,26.9,21.9,0,1,0,643
48.19,1.44,1.32,90.5,26.6,33.6,2,0,0,644
42.99,-4.52,7.05,34.1,33.4,15.4,2,0,1,645
62.26,-1.4,7.42,47.0,31.2,11.9,1,1,0,646
54.84,4.57,6.78,90.9,31.0,32.3,0,0,0,647
56.98,0.0,2.52,90.7,22.3,31.2,0,1,1,648
59.73,-0.67,8.73,71.7,38.0,34.8,1,1,1,649
52.46,-0.42,1.69,87.3,25.3,27.0,0,1,1,650
42.17,-2.91,0.54,18.0,24.9,33.4,0,0,0,651
53.43,-1.31,7.17,87.8,30.3,30.7,0,0,0,652
54.67,-1.3,4.75,38.9,25.7,31.1,0,1,0,653
58.64,-4.48,8.49,26.0,34.6,24.2,0,1,1,654
50.79,2.68,3.83,31.5,29.3,19.6,0,0,1,655
43.19,-0.83,1.68,47.6,31.2,33.4,0,1,0,656
47.09,3.22,8.36,32.6,33.4,20.8,0,0,1,657
49.08,3.5,5.49,38.9,25.1,23.5,2,0,1,658
56.15,-2.88,1.89,22.1,23.9,21.2,1,0,0,659
54.27,1.57,7.2,36.7,42.0,24.1,0,0,1,660
48.9,-0.28,5.11,61.5,30.8,21.8,1,0,0,661
64.66,3.8,6.04,49.8,30.3,11.2,0,0,1,662
55.14,-2.84,4.61,41.2,20.9,32.1,0,1,0,663
45.93,1.78,8.29,77.2,32.4,21.1,2,1,1,664
42.54,1.08,8.3,90.4,33.9,24.7,1,0,0,665
43.82,-2.05,7.09,78.1,34.0,13.5,1,0,1,666
46.15,-3.63,1.05,39.9,37.7,10.1,2,1,1,667
44.02,1.52,8.39,77.0,24.4,16.1,2,1,1,668
44.66,2.39,6.71,23.7,26.3,27.6,1,1,1,669
47.13,-1.84,6.97,21.7,40.3,12.5,0,1,1,670
44.33,1.45,3.63,41.1,43.7,32.7,0,1,0,671
62.42,-1.05,8.79,82.7,23.4,15.4,1,1,0,672
42.01,2.13,7.25,32.2,32.4,15.1,0,1,0,673
53.11,-3.01,1.13,15.7,25.4,14.5,2,1,1,674
50.26,3.9,4.08,21.9,21.5,10.3,2,0,0,675
64.56,-2.13,8.86,87.3,28.1,29.3,2,1,1,676
42.8,-1.32,0.47,67.0,23.6,31.9,1,0,1,677
49.95,-4.42,9.61,32.8,37.7,25.4,1,1,0,678
64.24,-3.88,6.79,60.0,33.3,14.7,1,1,0,679
61.64,0.16,6.31,57.5,23.6,17.1,0,1,1,680
60.43,-2.32,2.71,69.0,20.2,21.9,1,1,1,681
46.45,3.35,2.49,31.0,40.2,33.9,1,1,0,682
44.27,-4.85,9.42,87.8,24.4,16.2,2,0,0,683
56.72,-1.21,2.98,37.8,35.2,28.3,0,1,1,684
63.23,-1.63,7.76,72.5,28.4,21.0,0,0,1,685
53.92,-4.81,3.93,11.5,34.6,17.4,2,0,0,686
54.29,-3.76,1.39,43.5,27.9,21.4,0,1,1,687
47.0,-0.86,0.11,41.7,22.2,11.8,1,0,1,688
59.24,-0.07,5.44,58.9,25.6,30.0,0,1,0,689
44.68,-0.96,9.76,16.5,24.7,16.1,2,1,0,690
48.09,0.31,3.69,81.1,30.7,28.1,0,1,1,691
50.64,0.95,3.57,29.6,36.5,11.7,2,0,1,692
52.69,-4.9,3.44,70.9,26.6,33.9,1,1,0,693
46.06,-0.36,5.21,82.3,20.3,14.8,1,0,1,694
42.87,4.63,4.41,60.6,33.0,32.1,2,1,0,695
55.27,0.19,8.8,76.7,35.1,30.2,1,1,1,696
47.22,1.78,5.06,69.6,44.1,34.2,1,0,0,697
54.53,-1.88,5.08,42.0,34.7,21.9,0,0,1,698
43.86,2.74,1.38,82.8,31.8,28.2,1,0,1,699
52.03,2.73,9.83,36.5,34.3,19.3,2,0,1,700
53.31,0.21,2.5,61.4,43.2,14.6,1,0,0,701
41.3,4.76,0.73,77.1,40.7,21.1,0,0,0,702
48.42,-3.74,6.63,44.1,28.1,14.1,2,1,0,703
43.36,-4.83,5.95,37.2,25.9,34.6,1,0,1,704
41.58,2.7,4.15,51.3,26.6,12.4,1,1,1,705
64.75,3.07,4.22,83.6,32.6,24.7,1,1,0,706
48.06,-3.8,7.85,93.7,38.6,25.7,2,1,0,707
60.25,-2.34,1.96,59.1,32.6,23.5,0,1,1,708
46.37,-4.82,8.2,69.5,21.7,26.6,2,1,1,709
57.04,-2.07,6.49,91.3,38.1,12.9,2,0,1,710
59.01,2.73,4.19,18.9,40.1,23.9,0,1,1,711
54.89,0.18,4.58,30.9,27.2,17.2,2,1,0,712
51.79,-1.52,2.57,73.8,36.6,33.5,2,1,0,713
50.3,-1.28,7.52,84.1,30.7,29.1,1,0,1,714
48.72,-4.99,5.13,87.1,42.2,34.3,2,0,1,715
63.24,-2.0,3.21,47.4,41.1,10.9,1,0,1,716
60.77,1.46,5.96,18.0,33.1,17.1,2,0,0,717
64.13,4.74,9.96,49.4,37.3,14.9,1,1,0,718
43.11,3.47,4.35,30.8,42.1,10.3,1,0,1,719
58.27,-4.76,9.21,36.2,32.4,16.1,1,1,1,720
63.46,3.99,3.45,79.5,27.8,27.0,0,0,1,721
44.53,2.83,0.55,16.8,38.8,15.8,2,0,1,722
41.66,2.8,2.04,84.5,25.5,22.7,2,0,1,723
58.53,-0.42,4.19,48.5,29.7,32.2,2,0,1,724
54.36,-1.02,2.2,63.6,41.6,27.3,0,1,0,725
61.05,-1.97,0.0,18.1,38.1,19.9,1,0,0,726
43.49,-4.34,9.15,40.4,30.1,19.3,2,1,0,727
59.88,-2.72,8.44,18.1,25.4,21.4,0,1,1,728
45.04,-2.53,7.42,96.5,28.9,14.4,0,1,1,729
44.09,-0.16,1.68,82.7,27.1,25.9,2,1,1,730
44.11,2.47,1.2,51.4,24.4,19.1,1,1,0,731
60.36,-0.26,0.68,30.1,38.6,31.3,0,1,1,732
56.63,-4.42,7.24,94.0,26.3,28.9,2,1,0,733
53.08,4.58,9.29,41.0,31.4,25.3,1,0,1,734
48.97,4.43,4.31,24.5,29.6,19.1,0,1,1,735
61.93,2.85,1.19,60.7,44.6,15.2,0,0,1,736
49.81,4.91,5.12,94.9,29.8,29.4,2,0,0,737
60.41,0.44,3.49,10.3,22.0,22.2,2,1,0,738
50.98,4.63,3.75,31.4,22.2,15.6,1,1,0,739
49.42,-4.24,6.21,94.5,34.8,14.9,2,0,1,740
51.57,-1.34,7.19,25.4,35.0,14.1,2,0,0,741
47.53,-2.75,1.11,20.2,30.5,29.4,1,1,1,742
58.69,-3.04,0.36,61.3,30.8,15.7,2,1,1,743
52.57,-3.59,9.94,87.6,21.3,23.2,1,0,0,744
45.81,1.22,2.33,52.9,32.9,21.3,1,0,0,745
62.49,2.81,0.54,99.5,32.6,24.5,1,1,1,746
49.6,0.78,1.9,71.1,23.7,31.9,2,0,1,747
53.59,-3.53,0.39,16.7,22.6,31.7,1,0,1,748
62.66,3.11,3.92,99.4,23.1,21.3,2,1,1,749
55.61,1.36,8.02,46.7,22.5,10.4,1,0,0,750
42.92,-1.12,3.41,35.9,35.2,20.7,2,1,0,751
63.5,1.74,4.44,60.2,24.9,25.2,1,1,0,752
55.69,-2.4,6.76,37.4,26.3,23.9,0,1,1,753
48.37,-1.55,5.09,17.8,24.3,26.3,0,0,1,754
43.48,4.17,8.61,10.1,43.9,13.9,0,1,1,755
59.85,-2.09,8.66,50.5,41.4,26.2,1,0,0,756
55.5,-0.3,0.1,85.3,25.8,14.6,2,1,1,757
53.34,3.9,7.78,61.5,28.2,28.8,1,1,1,758
62.35,2.08,4.61,99.9,25.2,18.5,1,0,0,759
59.71,-4.38,9.89,35.8,32.3,27.7,1,0,0,760
43.79,-3.53,4.83,35.2,20.5,11.2,1,0,1,761
47.79,-4.92,9.87,24.4,36.8,20.2,2,1,0,762
46.21,1.31,7.55,24.8,33.1,27.6,1,0,1,763
58.6,-0.52,2.49,35.7,42.5,15.7,0,1,0,764
40.84,-3.66,5.38,81.4,24.1,29.9,0,0,1,765
54.25,4.58,9.92,91.5,40.1,25.8,0,1,0,766
59.06,0.3,8.58,97.8,39.8,24.7,1,1,0,767
61.92,-2.58,0.97,30.9,23.2,18.8,2,1,0,768
48.55,0.01,7.06,89.3,30.0,22.1,2,1,0,769
60.53,1.8,3.46,39.5,24.3,24.9,2,0,1,770
42.77,-4.24,0.07,20.2,26.4,21.8,1,0,1,771
61.16,-2.25,4.03,88.3,26.6,27.5,2,1,0,772
43.19,3.07,2.35,67.2,33.9,20.8,0,1,1,773
49.93,-0.4,8.19,24.8,30.3,15.1,2,0,0,774
59.93,0.47,3.37,48.7,43.7,15.3,1,0,0,775
43.75,-0.67,8.28,35.9,23.2,10.1,1,0,1,776
45.73,-4.56,0.01,76.3,44.3,17.5,2,0,1,777
58.06,-3.34,3.08,50.8,25.8,28.7,1,0,1,778
58.0,-0.54,2.41,99.0,39.3,29.9,2,0,1,779
56.03,-2.91,2.34,14.9,28.5,15.1,2,1,1,780
57.35,-4.5,0.68,42.0,23.6,34.0,0,0,1,781
53.57,3.44,1.87,53.4,41.4,22.6,1,0,1,782
46.29,4.81,5.56,55.3,27.7,32.9,0,1,0,783
48.64,2.93,2.91,38.4,36.5,27.7,1,0,1,784
44.54,3.54,4.17,75.6,34.2,28.1,2,0,0,785
62.71,-2.58,3.77,88.7,31.8,12.1,1,0,1,786
54.58,4.61,8.76,94.5,32.4,15.5,2,1,1,787
50.02,-3.03,9.05,82.5,38.3,10.2,1,0,0,788
51.55,4.51,4.93,86.6,22.2,27.9,0,1,0,789
63.68,4.95,3.3,59.5,36.7,18.6,0,0,0,790
43.83,2.12,1.07,84.3,42.4,29.7,2,1,0,791
54.66,4.81,9.53,37.3,21.4,18.5,0,0,1,792
52.65,0.7,0.6,45.9,23.5,30.5,2,0,1,793
55.29,-2.4,2.98,38.5,37.9,13.3,2,0,0,794
40.45,-0.63,2.98,52.1,30.9,14.3,2,1,0,795
61.8,0.94,3.2,35.7,30.1,18.5,1,0,1,796
63.3,-4.27,1.64,96.5,23.4,20.2,2,0,1,797
54.13,1.22,7.83,38.2,32.7,18.7,0,1,0,798
57.42,4.81,1.22,18.8,23.2,29.1,1,1,1,799
63.06,-3.1,6.35,57.4,31.9,12.4,0,1,1,800
57.68,2.93,1.24,15.1,39.1,18.8,2,0,0,801
43.81,4.08,0.71,19.9,26.5,30.9,2,1,0,802
54.41,4.44,9.09,29.7,32.0,11.7,0,0,0,803
55.17,4.6,1.9,51.8,44.8,33.6,1,1,0,804
50.6,0.21,8.21,49.0,37.2,34.7,0,1,1,805
58.41,4.77,5.45,82.0,41.0,12.2,2,0,0,806
63.36,2.57,0.78,76.6,30.4,17.3,1,0,1,807
63.14,-3.38,9.55,48.4,39.2,19.3,2,0,1,808
51.27,-0.23,2.47,40.0,21.0,29.4,2,0,1,809
42.83,2.18,8.6,38.5,23.1,24.9,0,1,1,810
64.62,-2.53,1.69,79.7,25.1,26.1,2,1,0,811
60.97,1.41,8.54,14.7,30.0,28.9,0,1,1,812
43.12,1.67,0.13,11.2,41.1,12.9,1,0,0,813
63.02,-3.37,5.12,81.6,28.7,30.8,2,0,1,814
61.75,0.65,7.69,52.9,36.4,27.6,2,1,0,815
52.97,2.72,9.35,21.8,37.7,24.4,1,1,1,816
54.78,-0.01,9.09,31.2,34.7,32.2,0,0,1,817
49.98,-4.88,8.2,93.9,28.9,27.5,2,1,0,818
41.37,-4.91,8.88,87.4,34.4,15.0,1,1,0,819
48.38,-1.43,1.99,73.9,28.6,20.7,2,1,0,820
60.07,4.26,2.84,53.4,22.1,22.4,0,0,0,821
40.12,-2.71,2.89,56.8,44.8,11.4,0,1,1,822
48.34,1.34,3.77,97.8,23.2,33.9,0,0,1,823
49.95,-2.78,3.93,96.9,21.8,13.2,0,1,1,824
53.43,-1.78,5.45,29.4,42.0,27.4,1,0,1,825
63.0,3.48,1.6,83.0,27.5,22.7,2,1,1,826
48.66,2.29,6.91,27.8,36.3,10.6,1,1,0,827
48.67,-4.05,1.68,29.2,28.2,33.1,0,1,0,828
58.44,-0.71,3.1,70.8,29.8,31.3,0,0,1,829
51.31,-4.71,5.03,46.5,26.6,23.1,0,1,0,830
45.62,-0.19,7.96,93.8,28.6,15.7,0,1,1,831
51.31,1.62,7.39,18.0,30.3,13.0,2,0,1,832
43.52,-3.81,6.46,56.0,38.0,19.1,0,0,0,833
44.41,-2.11,1.56,92.7,32.8,16.4,2,1,1,834
52.46,-1.02,5.47,91.4,43.6,22.7,0,1,0,835
50.47,4.2,0.87,24.1,21.0,34.2,2,1,1,836
62.87,4.93,3.77,43.0,32.6,24.4,2,1,0,837
49.06,-4.55,4.14,65.7,34.6,32.2,0,1,1,838
54.51,2.61,0.4,24.3,43.0,26.3,1,0,1,839
55.81,-1.28,2.74,97.1,21.2,21.9,1,1,0,840
40.33,-1.08,9.56,92.3,34.3,31.4,1,0,1,841
56.59,2.54,9.54,25.0,41.3,21.8,1,0,1,842
44.45,4.18,3.52,20.9,26.0,31.7,1,1,0,843
64.03,4.51,0.43,17.7,41.9,17.3,0,0,0,844
43.72,0.77,1.79,91.8,20.5,13.2,0,1,0,845
50.37,-1.43,3.92,27.4,38.3,31.4,0,0,1,846
42.13,2.88,9.48,47.5,43.3,24.7,0,0,0,847
64.92,-2.49,1.41,50.4,36.4,32.2,0,1,0,848
52.55,0.64,7.64,63.9,31.0,33.4,0,1,0,849
54.88,-1.41,1.09,16.5,21.1,11.3,2,0,1,850
41.68,1.57,9.81,30.4,43.0,22.5,2,1,0,851
58.75,-2.6,3.82,93.8,31.8,19.4,0,1,1,852
45.25,-3.08,7.75,91.8,20.7,25.6,0,0,1,853
62.45,4.18,3.43,80.3,37.2,29.8,2,0,0,854
